location,date,vaccine,total_vaccinations
Latvia,1/5/2021,Pfizer/BioNTech,3845
Latvia,1/6/2021,Pfizer/BioNTech,4621
Latvia,1/7/2021,Pfizer/BioNTech,5429
Latvia,1/8/2021,Pfizer/BioNTech,6333
Latvia,1/9/2021,Pfizer/BioNTech,6638
Latvia,1/10/2021,Pfizer/BioNTech,6974
Latvia,1/11/2021,Pfizer/BioNTech,8339
Latvia,1/12/2021,Pfizer/BioNTech,9966
Latvia,1/13/2021,Moderna,130
Latvia,1/13/2021,Pfizer/BioNTech,11347
Latvia,1/14/2021,Moderna,553
Latvia,1/14/2021,Pfizer/BioNTech,12746
Latvia,1/15/2021,Moderna,911
Latvia,1/15/2021,Pfizer/BioNTech,14256
Latvia,1/16/2021,Moderna,941
Latvia,1/16/2021,Pfizer/BioNTech,14892
Latvia,1/17/2021,Pfizer/BioNTech,15009
Latvia,1/18/2021,Moderna,1085
Latvia,1/18/2021,Pfizer/BioNTech,15709
Latvia,1/19/2021,Moderna,1146
Latvia,1/19/2021,Pfizer/BioNTech,16524
Latvia,1/20/2021,Moderna,1156
Latvia,1/20/2021,Pfizer/BioNTech,17284
Latvia,1/21/2021,Pfizer/BioNTech,17563
Latvia,1/22/2021,Moderna,1176
Latvia,1/22/2021,Pfizer/BioNTech,17758
Latvia,1/23/2021,Pfizer/BioNTech,17884
Latvia,1/25/2021,Pfizer/BioNTech,18551
Latvia,1/26/2021,Moderna,1187
Latvia,1/26/2021,Pfizer/BioNTech,19388
Latvia,1/27/2021,Pfizer/BioNTech,20206
Latvia,1/28/2021,Pfizer/BioNTech,20985
Latvia,1/29/2021,Moderna,1198
Latvia,1/29/2021,Pfizer/BioNTech,21936
Latvia,1/30/2021,Pfizer/BioNTech,22244
Latvia,1/31/2021,Pfizer/BioNTech,22578
Latvia,2/1/2021,Pfizer/BioNTech,23765
Latvia,2/2/2021,Moderna,1317
Latvia,2/2/2021,Pfizer/BioNTech,25454
Latvia,2/3/2021,Moderna,1534
Latvia,2/3/2021,Pfizer/BioNTech,26856
Latvia,2/4/2021,Moderna,1645
Latvia,2/4/2021,Pfizer/BioNTech,28248
Latvia,2/5/2021,Moderna,1735
Latvia,2/5/2021,Pfizer/BioNTech,29825
Latvia,2/6/2021,Pfizer/BioNTech,30391
Latvia,2/7/2021,Pfizer/BioNTech,30516
Latvia,2/8/2021,Moderna,1775
Latvia,2/8/2021,Pfizer/BioNTech,30887
Latvia,2/9/2021,Moderna,1795
Latvia,2/9/2021,Oxford/AstraZeneca,20
Latvia,2/9/2021,Pfizer/BioNTech,31031
Latvia,2/10/2021,Moderna,1923
Latvia,2/10/2021,Oxford/AstraZeneca,425
Latvia,2/10/2021,Pfizer/BioNTech,31117
Latvia,2/11/2021,Moderna,2281
Latvia,2/11/2021,Oxford/AstraZeneca,1514
Latvia,2/11/2021,Pfizer/BioNTech,31425
Latvia,2/12/2021,Moderna,2591
Latvia,2/12/2021,Oxford/AstraZeneca,2676
Latvia,2/12/2021,Pfizer/BioNTech,31651
Latvia,2/13/2021,Moderna,2640
Latvia,2/13/2021,Oxford/AstraZeneca,2897
Latvia,2/13/2021,Pfizer/BioNTech,31780
Latvia,2/14/2021,Moderna,2660
Latvia,2/14/2021,Oxford/AstraZeneca,2898
Latvia,2/15/2021,Moderna,2811
Latvia,2/15/2021,Oxford/AstraZeneca,3589
Latvia,2/15/2021,Pfizer/BioNTech,31807
Latvia,2/16/2021,Moderna,3020
Latvia,2/16/2021,Oxford/AstraZeneca,4701
Latvia,2/16/2021,Pfizer/BioNTech,31825
Latvia,2/17/2021,Moderna,3148
Latvia,2/17/2021,Oxford/AstraZeneca,6148
Latvia,2/17/2021,Pfizer/BioNTech,31979
Latvia,2/18/2021,Moderna,3383
Latvia,2/18/2021,Oxford/AstraZeneca,6993
Latvia,2/18/2021,Pfizer/BioNTech,32037
Latvia,2/19/2021,Moderna,3548
Latvia,2/19/2021,Oxford/AstraZeneca,7746
Latvia,2/19/2021,Pfizer/BioNTech,32094
Lithuania,12/27/2020,Pfizer/BioNTech,2418
Lithuania,12/28/2020,Pfizer/BioNTech,5203
Lithuania,12/29/2020,Pfizer/BioNTech,8189
Lithuania,12/30/2020,Pfizer/BioNTech,9722
Lithuania,12/31/2020,Pfizer/BioNTech,9747
Lithuania,1/5/2021,Pfizer/BioNTech,10369
Lithuania,1/6/2021,Pfizer/BioNTech,13866
Lithuania,1/7/2021,Pfizer/BioNTech,18020
Lithuania,1/8/2021,Pfizer/BioNTech,23190
Lithuania,1/9/2021,Pfizer/BioNTech,23494
Lithuania,1/10/2021,Pfizer/BioNTech,23497
Lithuania,1/11/2021,Pfizer/BioNTech,25704
Lithuania,1/12/2021,Pfizer/BioNTech,27789
Lithuania,1/13/2021,Moderna,163
Lithuania,1/13/2021,Pfizer/BioNTech,33772
Lithuania,1/14/2021,Moderna,472
Lithuania,1/14/2021,Pfizer/BioNTech,42088
Lithuania,1/15/2021,Moderna,1042
Lithuania,1/15/2021,Pfizer/BioNTech,48783
Lithuania,1/16/2021,Pfizer/BioNTech,49879
Lithuania,1/17/2021,Moderna,1043
Lithuania,1/17/2021,Pfizer/BioNTech,51009
Lithuania,1/18/2021,Moderna,1579
Lithuania,1/18/2021,Pfizer/BioNTech,54972
Lithuania,1/19/2021,Moderna,2075
Lithuania,1/19/2021,Pfizer/BioNTech,60761
Lithuania,1/20/2021,Moderna,2313
Lithuania,1/20/2021,Pfizer/BioNTech,63992
Lithuania,1/21/2021,Moderna,2373
Lithuania,1/21/2021,Pfizer/BioNTech,65481
Lithuania,1/22/2021,Pfizer/BioNTech,65874
Lithuania,1/23/2021,Pfizer/BioNTech,65882
Lithuania,1/25/2021,Pfizer/BioNTech,65984
Lithuania,1/26/2021,Pfizer/BioNTech,69085
Lithuania,1/27/2021,Pfizer/BioNTech,75977
Lithuania,1/28/2021,Pfizer/BioNTech,83045
Lithuania,1/29/2021,Pfizer/BioNTech,91081
Lithuania,1/30/2021,Pfizer/BioNTech,91709
Lithuania,1/31/2021,Pfizer/BioNTech,91717
Lithuania,2/1/2021,Pfizer/BioNTech,94599
Lithuania,2/2/2021,Moderna,2680
Lithuania,2/2/2021,Pfizer/BioNTech,98140
Lithuania,2/3/2021,Moderna,3307
Lithuania,2/3/2021,Pfizer/BioNTech,104181
Lithuania,2/4/2021,Moderna,3870
Lithuania,2/4/2021,Oxford/AstraZeneca,1
Lithuania,2/4/2021,Pfizer/BioNTech,113386
Lithuania,2/5/2021,Moderna,4014
Lithuania,2/5/2021,Pfizer/BioNTech,120457
Lithuania,2/6/2021,Pfizer/BioNTech,121182
Lithuania,2/7/2021,Pfizer/BioNTech,121279
Lithuania,2/8/2021,Moderna,4102
Lithuania,2/8/2021,Pfizer/BioNTech,123842
Lithuania,2/9/2021,Moderna,4343
Lithuania,2/9/2021,Oxford/AstraZeneca,300
Lithuania,2/9/2021,Pfizer/BioNTech,126144
Lithuania,2/10/2021,Moderna,4652
Lithuania,2/10/2021,Oxford/AstraZeneca,3023
Lithuania,2/10/2021,Pfizer/BioNTech,129201
Lithuania,2/11/2021,Moderna,5084
Lithuania,2/11/2021,Oxford/AstraZeneca,5505
Lithuania,2/11/2021,Pfizer/BioNTech,135268
Lithuania,2/12/2021,Moderna,5700
Lithuania,2/12/2021,Oxford/AstraZeneca,7437
Lithuania,2/12/2021,Pfizer/BioNTech,139968
Lithuania,2/13/2021,Moderna,5705
Lithuania,2/13/2021,Oxford/AstraZeneca,7743
Lithuania,2/13/2021,Pfizer/BioNTech,140099
Lithuania,2/15/2021,Moderna,6984
Lithuania,2/15/2021,Oxford/AstraZeneca,9543
Lithuania,2/15/2021,Pfizer/BioNTech,141639
Lithuania,2/16/2021,Pfizer/BioNTech,142170
Lithuania,2/17/2021,Moderna,8330
Lithuania,2/17/2021,Oxford/AstraZeneca,10514
Lithuania,2/17/2021,Pfizer/BioNTech,147854
Lithuania,2/18/2021,Moderna,8864
Lithuania,2/18/2021,Oxford/AstraZeneca,11907
Lithuania,2/18/2021,Pfizer/BioNTech,156581
Lithuania,2/19/2021,Moderna,9319
Lithuania,2/19/2021,Oxford/AstraZeneca,14037
Lithuania,2/19/2021,Pfizer/BioNTech,163379
Lithuania,1/12/2021,Moderna,3835859
United States of America,1/12/2021,Pfizer/BioNTech,5488697
United States of America,1/13/2021,Moderna,4249795
United States of America,1/13/2021,Pfizer/BioNTech,6025872
United States of America,1/15/2021,Moderna,5122662
United States of America,1/15/2021,Pfizer/BioNTech,7153268
United States of America,1/19/2021,Moderna,6828561
United States of America,1/19/2021,Pfizer/BioNTech,8874811
United States of America,1/20/2021,Moderna,7239750
United States of America,1/20/2021,Pfizer/BioNTech,9281063
United States of America,1/21/2021,Moderna,7724683
United States of America,1/21/2021,Pfizer/BioNTech,9817027
United States of America,1/22/2021,Moderna,8407909
United States of America,1/22/2021,Pfizer/BioNTech,10695066
United States of America,1/23/2021,Moderna,9061112
United States of America,1/23/2021,Pfizer/BioNTech,11471457
United States of America,1/24/2021,Moderna,9689497
United States of America,1/24/2021,Pfizer/BioNTech,12153536
United States of America,1/25/2021,Moderna,10084432
United States of America,1/25/2021,Pfizer/BioNTech,12551999
United States of America,1/26/2021,Moderna,10431466
United States of America,1/26/2021,Pfizer/BioNTech,13009981
United States of America,1/27/2021,Moderna,11001991
United States of America,1/27/2021,Pfizer/BioNTech,13550835
United States of America,1/28/2021,Moderna,11737592
United States of America,1/28/2021,Pfizer/BioNTech,14355980
United States of America,1/29/2021,Moderna,12619210
United States of America,1/29/2021,Pfizer/BioNTech,15164858
United States of America,1/30/2021,Moderna,13499942
United States of America,1/30/2021,Pfizer/BioNTech,15977015
United States of America,1/31/2021,Moderna,14246089
United States of America,1/31/2021,Pfizer/BioNTech,16775916
United States of America,2/1/2021,Moderna,14756609
United States of America,2/1/2021,Pfizer/BioNTech,17364398
United States of America,2/2/2021,Moderna,15006565
United States of America,2/2/2021,Pfizer/BioNTech,17672866
United States of America,2/3/2021,Moderna,15567188
United States of America,2/3/2021,Pfizer/BioNTech,18209204
United States of America,2/4/2021,Moderna,16260102
United States of America,2/4/2021,Pfizer/BioNTech,18841309
United States of America,2/5/2021,Moderna,17133644
United States of America,2/5/2021,Pfizer/BioNTech,19582865
United States of America,2/6/2021,Moderna,18336515
United States of America,2/6/2021,Pfizer/BioNTech,20598212
United States of America,2/7/2021,Moderna,19485089
United States of America,2/7/2021,Pfizer/BioNTech,21622193
United States of America,2/8/2021,Moderna,20066305
United States of America,2/8/2021,Pfizer/BioNTech,22247484
United States of America,2/9/2021,Moderna,20416765
United States of America,2/9/2021,Pfizer/BioNTech,22685406
United States of America,2/10/2021,Moderna,21189540
United States of America,2/10/2021,Pfizer/BioNTech,23475749
United States of America,2/11/2021,Moderna,22038088
United States of America,2/11/2021,Pfizer/BioNTech,24246868
United States of America,2/12/2021,Moderna,23111715
United States of America,2/12/2021,Pfizer/BioNTech,25192628
United States of America,2/13/2021,Moderna,24297615
United States of America,2/13/2021,Pfizer/BioNTech,26237417
United States of America,2/14/2021,Moderna,25505313
United States of America,2/14/2021,Pfizer/BioNTech,27271797
United States of America,2/16/2021,Moderna,26738383
United States of America,2/16/2021,Pfizer/BioNTech,28374410
United States of America,2/17/2021,Moderna,27287041
United States of America,2/17/2021,Pfizer/BioNTech,28886690
United States of America,2/18/2021,Moderna,28043413
United States of America,2/18/2021,Pfizer/BioNTech,29585627
United States of America,2/19/2021,Moderna,29044336
United States of America,2/19/2021,Pfizer/BioNTech,30431247
